	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	2	4333	9	20357	1	3619	9	21072	0	3620	1	21080	1	896	9	23795	0	897	1	23803
1	2331	14065	584	7721	1037	12226	519	10919	909	12354	450	10988	515	7041	1041	16104	645	6911	714	16431
2	4	1001	39	23657	4	852	33	23812	0	856	6	23839	0	153	37	24511	0	153	6	24542
3	13	20296	1	4391	8	12231	6	12456	0	12239	0	12462	12	17138	2	7549	0	17150	0	7551
4	74	1698	810	22119	39	1404	466	22792	18	1425	361	22897	9	343	496	23853	8	344	371	23978
5	2	19313	0	5386	2	16720	0	7979	0	16722	0	7979	2	9910	0	14789	0	9912	0	14789
6	8	2971	23	21699	7	2653	17	22024	0	2660	7	22034	1	369	23	24308	0	370	7	24324
7	55	4280	165	20201	25	3595	127	20954	12	3608	56	21025	13	884	139	23665	9	888	59	23745
8	11	943	104	23643	8	764	101	23828	2	770	4	23925	1	183	108	24409	0	184	6	24511
9	1	72	148	24480	1	69	72	24559	0	70	76	24555	0	3	73	24625	0	3	76	24622
10	49	497	1546	22609	0	43	441	24217	2	41	1152	23506	27	478	414	23782	21	484	1133	23063
11	1	18	2	24680	0	13	2	24686	0	13	1	24687	1	5	1	24694	0	6	1	24694
12	1	14452	2	10246	1	11751	1	12948	0	11752	1	12948	0	5567	2	19132	0	5567	1	19133
13	1	15	40	24645	0	0	30	24671	0	0	11	24690	1	15	29	24656	0	16	11	24674
14	7	18085	1	6608	7	13287	1	11406	0	13294	0	11407	5	11536	3	13157	0	11541	0	13160
15	82	5739	157	18723	16	2233	118	22334	19	2230	86	22366	44	3818	90	20749	10	3852	95	20744
16	1	686	14	24000	1	584	10	24106	0	585	4	24112	0	105	11	24585	0	105	4	24592
17	1	50	0	24650	0	0	1	24700	0	0	0	24701	1	50	0	24650	0	51	0	24650
18	567	18748	87	5299	268	16454	73	7906	255	16467	58	7921	169	9743	172	14617	154	9758	159	14630
19	81	14166	16	10438	65	13044	6	11586	13	13096	13	11579	15	2870	56	21760	3	2882	23	21793
20	56	727	1342	22576	3	96	840	23762	2	97	553	24049	33	653	810	23205	18	668	537	23478
21	1	1004	45	23651	1	855	20	23825	0	856	25	23820	0	153	21	24527	0	153	25	24523
22	76	13036	42	11547	51	11943	31	12676	17	11977	19	12688	13	2609	69	22010	7	2615	29	22050
23	117	2076	787	21721	107	1919	698	21977	7	2019	92	22583	3	176	802	23720	1	178	98	24424
24	362	6592	453	17294	228	6018	256	18199	99	6147	232	18223	45	929	439	23288	12	962	319	23408
25	87	741	1446	22427	2	75	662	23962	3	74	866	23758	46	706	618	23331	36	716	833	23116
26	3	1336	29	23333	2	873	29	23797	0	875	1	23825	1	476	30	24194	0	477	1	24223
27	81	19234	9	5377	57	16665	9	7970	15	16707	9	7970	46	9866	20	14769	10	9902	14	14775
28	279	13018	128	11276	101	7358	123	17119	36	7423	147	17095	94	8195	130	16282	107	8182	76	16336
29	483	5338	909	17971	173	2076	664	21788	51	2198	504	21948	179	3683	658	20181	105	3757	450	20389
30	1	87	20	24593	0	7	19	24675	0	7	2	24692	1	80	18	24602	0	81	2	24618
31	6	971	99	23625	1	151	87	24462	0	152	17	24532	3	825	85	23788	2	826	15	23858
32	3	19	3915	20764	0	0	2243	22458	0	0	1675	23026	2	20	2241	22438	1	21	1674	23005
33	10	2969	80	21642	2	2658	54	21987	4	2656	30	22011	4	366	52	24279	0	370	34	24297
34	2	12214	0	12485	0	6944	1	17756	0	6944	1	17756	1	7439	0	17261	1	7439	0	17261
35	1253	11859	627	10962	588	11406	357	12350	567	11427	368	12339	142	2480	803	21276	142	2480	793	21286
36	8	2470	44	22179	2	1270	41	23388	1	1271	8	23421	5	1271	38	23387	0	1276	9	23416
37	1	1394	5	23301	0	153	6	24542	0	153	0	24548	1	1247	5	23448	0	1248	0	23453
38	1	12215	1	12484	0	6944	2	17755	0	6944	0	17757	1	7439	1	17260	0	7440	0	17261
39	2	781	4	23914	0	99	6	24596	0	99	0	24602	2	684	4	24011	0	686	0	24015
40	118	1395	1156	22032	88	1311	660	22642	20	1379	506	22796	10	112	738	23841	2	120	524	24055
41	1	72	107	24521	1	69	60	24571	0	70	47	24584	0	3	61	24637	0	3	47	24651
42	1	50	25	24625	0	0	25	24676	0	0	1	24700	1	50	24	24626	0	51	1	24649
43	3	6	6360	18332	1	8	3021	21671	2	7	3339	21353	0	0	3022	21679	0	0	3341	21360
44	1	11433	1	13266	1	9778	1	14921	0	9779	0	14922	0	3027	2	21672	0	3027	0	21674
45	7	13458	5	11231	5	10623	7	14066	0	10628	0	14073	2	5373	10	19316	0	5375	0	19326
46	74	6880	86	17661	52	6194	77	18378	6	6240	25	18430	22	952	107	23620	4	970	27	23700
47	21	1751	385	22544	8	1435	185	23073	8	1435	205	23053	3	349	190	24159	2	350	211	24138
48	2	773	4	23922	1	162	5	24533	0	163	0	24538	1	614	5	24081	0	615	0	24086
49	103	1145	1047	22406	3	136	636	23926	3	136	508	24054	61	1053	578	23009	36	1078	475	23112
50	1	3	679	24018	0	1	251	24449	0	1	429	24271	1	2	250	24448	0	3	429	24269
51	4	20305	2	4390	2	12237	3	12459	0	12239	1	12461	2	17148	3	7548	1	17149	0	7551
52	877	17215	179	6430	421	12873	159	11248	272	13022	204	11203	338	11203	242	12918	240	11301	236	12924
53	67	479	1893	22262	2	41	978	23680	4	39	976	23682	22	483	958	23238	39	466	941	23255
54	1	2287	41	22372	0	367	7	24327	1	366	34	24300	0	1964	7	22730	0	1964	35	22702
55	6	2472	20	22203	2	1270	23	23406	0	1272	1	23428	3	1273	22	23403	1	1275	0	23425
56	1052	1141	7914	14594	624	1402	3745	18930	366	1660	4231	18444	38	141	4331	20191	30	149	4567	19955
57	4	6950	10	17737	4	6242	10	18445	0	6246	0	18455	1	973	13	23714	0	974	0	23727
58	1	4334	5	20361	1	3619	5	21076	0	3620	0	21081	0	897	6	23798	0	897	0	23804
59	5332	8133	2419	8817	2428	8200	1710	12363	1914	8714	1699	12374	1510	3865	2628	16698	637	4738	2976	16350
60	2	50	975	23674	0	5	560	24136	0	5	417	24279	1	46	559	24095	1	46	416	24238
61	96	1417	903	22285	61	1338	499	22803	29	1370	410	22892	4	118	556	24023	3	119	436	24143
62	168	5653	272	18608	19	2230	245	22207	27	2222	149	22303	114	3748	150	20689	17	3845	159	20680
63	131	6823	199	17548	59	6187	114	18341	50	6196	107	18348	10	964	163	23564	18	956	139	23588
64	1	72	92	24536	1	69	74	24557	0	70	18	24613	0	3	75	24623	0	3	18	24680
65	4	6	3040	21651	4	6	1812	22879	0	10	1228	23463	0	0	1816	22885	0	0	1228	23473
66	474	1814	3347	19066	45	322	1776	22558	30	337	1970	22364	313	1651	1508	21229	102	1862	1898	20839
67	38	16358	7	8298	36	13227	9	11429	0	13263	0	11438	16	7540	29	17116	0	7556	0	17145
68	1	21	1409	23270	0	0	1319	23382	0	0	91	24610	1	21	1318	23361	0	22	91	24588
69	510	1778	3647	18766	52	315	2264	22070	22	345	1819	22515	294	1670	2022	20715	153	1811	1688	21049
70	1	774	1	23925	0	163	2	24536	0	163	0	24538	1	614	1	24085	0	615	0	24086
71	148	2831	739	20983	96	2564	409	21632	34	2626	348	21693	11	359	494	23837	8	362	374	23957
72	17	151	1159	23374	15	146	656	23884	2	159	503	24037	0	7	671	24023	0	7	505	24189
73	2	14245	0	10454	1	13108	1	11591	0	13109	0	11592	1	2884	1	21815	0	2885	0	21816
